Employee_ID,Review_Date,Performance_Score,Satisfaction_Score,Training_Hours,Goals_Achieved,Manager_Rating,Promotion_Status
EMP0002,2022-11-15,3,4,22,86,3,No
EMP0002,2023-11-15,2,3,8,83,1,No
EMP0002,2024-11-14,1,3,14,84,1,No
EMP0002,2025-11-14,3,3,0,90,3,No
EMP0003,2021-11-13,1,3,4,78,1,No
EMP0003,2022-11-13,2,3,15,86,2,No
EMP0003,2023-11-13,1,3,2,80,1,No
EMP0003,2024-11-12,1,3,0,61,1,No
EMP0003,2025-11-12,2,3,0,91,1,No
EMP0004,2026-05-07,5,2,75,96,4,No
EMP0005,2024-03-26,4,3,0,103,3,No
EMP0005,2025-03-26,3,4,0,84,2,No
EMP0005,2026-03-26,1,2,15,74,1,No
EMP0006,2022-06-15,3,2,15,106,3,No
EMP0006,2023-06-15,2,4,3,92,2,No
EMP0006,2024-06-14,3,2,18,91,3,No
EMP0006,2025-06-14,2,3,0,77,2,No
EMP0006,2026-06-14,2,2,18,80,3,No
EMP0007,2021-04-09,3,3,22,92,3,No
EMP0007,2022-04-09,3,4,0,69,3,No
EMP0007,2023-04-09,2,5,17,75,2,No
EMP0007,2024-04-08,2,3,0,92,2,No
EMP0007,2025-04-08,2,4,3,89,1,No
EMP0007,2026-04-08,2,2,22,75,2,No
EMP0008,2022-03-19,2,3,0,89,2,No
EMP0008,2023-03-19,2,2,12,93,1,No
EMP0008,2024-03-18,2,3,0,87,2,No
EMP0008,2025-03-18,3,3,0,74,3,No
EMP0008,2026-03-18,4,1,3,110,3,No
EMP0009,2021-10-09,3,4,0,103,3,No
EMP0009,2022-10-09,3,4,25,95,2,No
EMP0009,2023-10-09,3,4,9,82,2,No
EMP0009,2024-10-08,4,3,16,110,3,No
EMP0009,2025-10-08,4,3,8,99,2,No
EMP0010,2025-09-14,1,3,61,60,1,No
EMP0011,2022-05-06,4,3,1,100,3,No
EMP0011,2023-05-06,5,2,8,104,5,No
EMP0011,2024-05-05,4,2,15,110,4,No
EMP0011,2025-05-05,5,3,15,110,4,Yes
EMP0011,2026-05-05,4,4,0,79,3,No
EMP0012,2025-04-26,2,3,3,82,1,No
EMP0012,2026-04-26,2,3,24,82,1,No
EMP0013,2023-08-13,2,3,9,98,1,No
EMP0013,2024-08-12,3,2,4,67,3,No
EMP0013,2025-08-12,2,2,12,74,1,No
EMP0014,2025-09-04,2,1,19,73,1,No
EMP0016,2021-07-01,4,3,11,79,3,No
EMP0016,2022-07-01,5,1,10,102,5,No
EMP0017,2024-06-17,3,1,18,92,2,No
EMP0017,2025-06-17,2,1,36,95,1,No
EMP0017,2026-06-17,1,1,25,81,1,No
EMP0019,2024-10-07,4,3,6,107,4,Yes
EMP0019,2025-10-07,4,4,15,110,4,No
EMP0021,2023-07-10,2,2,9,79,2,No
EMP0022,2025-04-26,3,3,17,104,3,No
EMP0022,2026-04-26,2,2,0,92,2,No
EMP0023,2025-12-11,3,2,14,80,3,No
EMP0024,2026-06-28,4,3,63,110,4,No
EMP0025,2023-04-03,3,2,47,87,3,No
EMP0026,2023-07-19,1,5,0,88,1,No
EMP0026,2024-07-18,2,4,7,105,1,No
EMP0026,2025-07-18,1,5,0,78,1,No
EMP0026,2026-07-18,2,4,1,78,2,No
EMP0027,2022-09-24,4,3,0,97,4,No
EMP0027,2023-09-24,4,4,0,98,5,No
EMP0027,2024-09-23,4,3,0,92,3,No
EMP0027,2025-09-23,5,2,0,102,4,No
EMP0028,2022-02-10,2,2,17,87,1,No
EMP0028,2023-02-10,3,3,6,92,3,No
EMP0028,2024-02-10,4,2,4,100,4,No
EMP0028,2025-02-09,3,2,18,94,3,No
EMP0028,2026-02-09,2,2,0,77,1,No
