Candidate_ID,Application_Date,Department,Job_Role,Recruitment_Source,Candidate_Status,Interview_Score,Experience_Years,Expected_Salary,Offered_Salary,Hiring_Date,Time_to_Hire,Recruitment_Cost
CAND0001,2024-05-11,Operations,Operations Manager,Executive Search,Shortlisted,78,0,117635,0,,,1337
CAND0002,2025-09-09,HR,Talent Acquisition Specialist,Indeed,Joined,94,6,75363,79604,2025-10-03,24.0,844
CAND0003,2025-04-07,Sales,Sales Representative,Indeed,Joined,89,3,56920,55558,2025-05-07,30.0,2382
CAND0004,2025-12-24,Marketing,Digital Marketing Manager,Indeed,Interviewed,56,2,91134,0,,,133
CAND0005,2025-03-18,Marketing,Content Writer,Referral,Applied,91,3,64448,0,,,56
CAND0006,2026-01-14,Operations,Operations Analyst,LinkedIn,Joined,92,0,73481,78991,2026-03-12,57.0,4297
CAND0007,2021-10-15,Finance,Financial Analyst,Glassdoor,Rejected,47,2,64099,0,,,119
CAND0008,2025-03-07,Marketing,Digital Marketing Manager,Indeed,Joined,96,9,108772,105541,2025-04-08,32.0,2468
CAND0009,2023-08-22,Finance,Senior Accountant,Executive Search,Shortlisted,73,11,121140,0,,,1929
CAND0010,2021-03-24,HR,HR Manager,LinkedIn,Shortlisted,65,0,100704,0,,,291
CAND0011,2025-05-29,Finance,Auditor,Referral,Joined,90,3,112396,107812,2025-06-28,30.0,674
CAND0012,2023-12-28,Finance,Auditor,College Campus,Rejected,63,7,92584,0,,,140
CAND0013,2021-05-26,Marketing,Content Writer,Indeed,Applied,66,0,52045,0,,,250
CAND0014,2025-08-09,Operations,Operations Manager,LinkedIn,Joined,88,5,166935,167973,2025-09-12,34.0,2789
CAND0015,2025-10-26,Operations,Supply Chain Planner,Indeed,Joined,93,1,65199,70912,2025-12-06,41.0,1962
CAND0016,2021-03-20,Sales,Sales Director,LinkedIn,Rejected,36,1,173449,0,,,322
CAND0017,2026-01-17,Customer Service,Support Lead,Referral,Shortlisted,79,0,60471,0,,,32
CAND0018,2025-10-28,Marketing,Digital Marketing Manager,Glassdoor,Rejected,47,2,86162,0,,,126
CAND0019,2023-02-27,Finance,Auditor,Executive Search,Rejected,53,11,86152,0,,,2490
CAND0020,2025-06-23,Marketing,Content Writer,Glassdoor,Joined,89,2,60430,61506,2025-08-08,46.0,2755
CAND0021,2026-03-17,Customer Service,Customer Success Manager,Executive Search,Interviewed,66,6,111404,0,,,1765
CAND0022,2023-03-06,Operations,Supply Chain Planner,Indeed,Applied,67,0,77875,0,,,214
CAND0023,2025-11-14,HR,Benefits Specialist,Indeed,Joined,81,14,100794,107856,2025-11-30,16.0,2051
CAND0024,2024-09-21,IT,System Administrator,Referral,Interviewed,48,9,92429,0,,,49
CAND0025,2020-06-23,Operations,Logistics Coordinator,Executive Search,Rejected,64,9,75311,0,,,1304
CAND0026,2026-07-07,Sales,Business Development Associate,Referral,Selected,51,5,69548,67441,2026-09-05,60.0,524
CAND0027,2021-09-14,Customer Service,Customer Success Manager,Referral,Applied,38,13,98088,0,,,45
CAND0028,2025-01-30,Customer Service,Support Lead,LinkedIn,Joined,98,13,103342,103200,2025-02-17,18.0,2696
CAND0029,2022-02-25,Finance,Senior Accountant,Referral,Selected,76,8,101249,106239,2022-03-30,33.0,733
CAND0030,2024-05-01,Operations,Supply Chain Planner,LinkedIn,Applied,81,7,91319,0,,,446
CAND0031,2020-01-28,IT,Senior Developer,Referral,Rejected,62,1,150543,0,,,59
CAND0032,2024-10-12,Marketing,Digital Marketing Manager,LinkedIn,Rejected,63,7,119481,0,,,382
CAND0033,2021-03-28,IT,Software Engineer,Indeed,Applied,77,5,108025,0,,,99
CAND0034,2025-07-22,HR,HR Manager,LinkedIn,Rejected,30,7,108896,0,,,194
CAND0035,2024-01-16,Finance,Auditor,LinkedIn,Shortlisted,57,2,78540,0,,,169
CAND0036,2025-02-25,HR,Talent Acquisition Specialist,Glassdoor,Joined,98,2,64151,65700,2025-04-14,48.0,2308
CAND0037,2022-03-04,Operations,Operations Analyst,Glassdoor,Interviewed,37,5,71082,0,,,112
CAND0038,2026-04-23,Finance,Senior Accountant,LinkedIn,Joined,86,6,107108,111473,2026-05-12,19.0,3584
CAND0039,2025-02-28,Operations,Operations Analyst,LinkedIn,Joined,81,3,81522,79531,2025-04-27,58.0,2282
CAND0040,2024-05-19,Operations,Operations Analyst,Glassdoor,Interviewed,91,1,62573,0,,,193
CAND0041,2025-03-02,IT,Senior Developer,Referral,Joined,76,6,148357,159599,2025-04-18,47.0,939
CAND0042,2022-09-14,IT,QA Engineer,College Campus,Shortlisted,87,0,58604,0,,,149
CAND0043,2020-10-10,Sales,Sales Director,LinkedIn,Rejected,34,8,158587,0,,,339
CAND0044,2025-02-26,Operations,Operations Analyst,Referral,Interviewed,56,0,65850,0,,,40
CAND0045,2023-04-24,IT,System Administrator,College Campus,Shortlisted,84,5,76435,0,,,67
CAND0046,2023-01-11,Sales,Business Development Associate,Referral,Interviewed,55,6,82778,0,,,50
CAND0047,2025-04-22,Operations,Supply Chain Planner,LinkedIn,Joined,90,3,80709,78323,2025-05-11,19.0,4446
CAND0048,2025-06-19,Customer Service,Customer Support Agent,Glassdoor,Joined,85,2,41689,39877,2025-07-05,16.0,2098
CAND0049,2025-04-17,IT,Data Scientist,LinkedIn,Joined,83,0,113684,119231,2025-05-14,27.0,3708
CAND0050,2025-01-30,HR,Talent Acquisition Specialist,LinkedIn,Joined,88,16,98421,103703,2025-03-08,37.0,4390
CAND0051,2025-01-16,Marketing,Brand Manager,LinkedIn,Joined,82,6,133928,140282,2025-02-23,38.0,2480
CAND0052,2021-05-09,Marketing,Digital Marketing Manager,Glassdoor,Shortlisted,68,6,100659,0,,,195
CAND0053,2024-10-04,Operations,Supply Chain Planner,Glassdoor,Applied,72,3,81396,0,,,266
CAND0054,2025-07-18,Operations,Operations Analyst,College Campus,Joined,88,3,67748,68976,2025-08-29,42.0,1738
CAND0055,2021-04-16,IT,Senior Developer,LinkedIn,Selected,73,6,146818,141790,2021-06-27,72.0,3392
CAND0056,2025-05-11,Customer Service,Customer Success Manager,Glassdoor,Joined,88,6,100692,101825,2025-06-19,39.0,2661
CAND0057,2025-06-05,Finance,Finance Manager,LinkedIn,Shortlisted,57,6,124975,0,,,281
CAND0058,2025-08-21,Finance,Auditor,Glassdoor,Joined,86,3,93728,89993,2025-10-08,48.0,1873
CAND0059,2026-05-20,HR,Talent Acquisition Specialist,College Campus,Joined,75,5,64918,63610,2026-06-19,30.0,1456
CAND0060,2024-01-06,IT,Data Scientist,College Campus,Applied,31,7,155994,0,,,143
CAND0061,2024-01-16,HR,Talent Acquisition Specialist,Referral,Shortlisted,64,11,74822,0,,,81
CAND0062,2025-03-28,Sales,Sales Director,Indeed,Joined,79,4,252772,251767,2025-05-02,35.0,1784
CAND0063,2025-02-15,Sales,Account Manager,LinkedIn,Applied,86,5,107679,0,,,183
CAND0064,2025-06-30,Sales,Sales Representative,Indeed,Joined,79,7,75736,75176,2025-07-18,18.0,1370
CAND0065,2025-09-07,Sales,Business Development Associate,Glassdoor,Joined,96,0,66149,70108,2025-10-10,33.0,1443
CAND0066,2025-08-08,IT,System Administrator,Executive Search,Shortlisted,87,5,90466,0,,,1353
CAND0067,2021-01-08,Customer Service,Customer Success Manager,Referral,Interviewed,90,1,66090,0,,,68
CAND0068,2026-07-26,Marketing,Content Writer,Glassdoor,Shortlisted,88,6,66125,0,,,160
CAND0069,2025-04-29,IT,System Administrator,Glassdoor,Joined,98,6,89901,89705,2025-06-22,54.0,2073
CAND0070,2020-02-19,HR,HR Manager,Glassdoor,Applied,76,7,115178,0,,,133
CAND0071,2025-09-26,Customer Service,Support Lead,Indeed,Shortlisted,76,4,65459,0,,,239
CAND0072,2020-10-01,HR,Talent Acquisition Specialist,Indeed,Interviewed,63,7,71668,0,,,207
CAND0073,2025-11-23,Sales,Sales Representative,Glassdoor,Applied,61,3,60262,0,,,110
CAND0074,2024-12-27,Finance,Auditor,Executive Search,Applied,72,7,71957,0,,,2420
CAND0075,2026-01-11,IT,Software Engineer,Referral,Rejected,49,8,103924,0,,,30
CAND0076,2026-01-02,Customer Service,Support Lead,LinkedIn,Joined,79,7,65583,68302,2026-01-19,17.0,3795
CAND0077,2022-11-10,HR,HR Manager,Referral,Interviewed,56,8,124687,0,,,62
CAND0078,2025-05-26,Finance,Financial Analyst,LinkedIn,Joined,97,5,113707,122128,2025-07-12,47.0,3515
CAND0079,2022-05-31,Marketing,Digital Marketing Manager,LinkedIn,Interviewed,90,5,97178,0,,,253
CAND0080,2023-04-18,Operations,Supply Chain Planner,Executive Search,Rejected,60,0,60104,0,,,1237
CAND0081,2021-03-06,IT,QA Engineer,Executive Search,Rejected,62,2,74379,0,,,1797
CAND0082,2025-10-03,Sales,Sales Director,Indeed,Joined,79,3,188862,199526,2025-11-20,48.0,1903
CAND0083,2025-02-01,Sales,Sales Representative,Executive Search,Joined,80,2,58363,55676,2025-03-25,52.0,20160
CAND0084,2020-04-16,Finance,Financial Analyst,LinkedIn,Interviewed,48,7,75111,0,,,373
CAND0085,2025-09-01,IT,Software Engineer,Glassdoor,Selected,52,14,117737,112862,2025-09-22,21.0,2145
CAND0086,2024-03-19,Finance,Senior Accountant,Indeed,Rejected,61,3,102316,0,,,121
